"variable" "activity_label" "subject_id" "mean"
"tbodyacc_mean_x" "LAYING" 1 0.22159824394
"tbodyacc_mean_x" "LAYING" 2 0.281373403958333
"tbodyacc_mean_x" "LAYING" 3 0.275516852741935
"tbodyacc_mean_x" "LAYING" 4 0.263559214981481
"tbodyacc_mean_x" "LAYING" 5 0.278334325576923
"tbodyacc_mean_x" "LAYING" 6 0.248656520140351
"tbodyacc_mean_x" "LAYING" 7 0.250176694038462
"tbodyacc_mean_x" "LAYING" 8 0.261254282907407
"tbodyacc_mean_x" "LAYING" 9 0.2591955368
"tbodyacc_mean_x" "LAYING" 10 0.280230574137931
"tbodyacc_mean_x" "LAYING" 11 0.280592970877193
"tbodyacc_mean_x" "LAYING" 12 0.260113433
"tbodyacc_mean_x" "LAYING" 13 0.276716360483871
"tbodyacc_mean_x" "LAYING" 14 0.233275439803922
"tbodyacc_mean_x" "LAYING" 15 0.2894756525
"tbodyacc_mean_x" "LAYING" 16 0.274227162571429
"tbodyacc_mean_x" "LAYING" 17 0.269780085577465
"tbodyacc_mean_x" "LAYING" 18 0.274691576923077
"tbodyacc_mean_x" "LAYING" 19 0.272653733493976
"tbodyacc_mean_x" "LAYING" 20 0.239507882205882
"tbodyacc_mean_x" "LAYING" 21 0.271325472455556
"tbodyacc_mean_x" "LAYING" 22 0.279959721194444
"tbodyacc_mean_x" "LAYING" 23 0.274038007986111
"tbodyacc_mean_x" "LAYING" 24 0.272850494930556
"tbodyacc_mean_x" "LAYING" 25 0.250791828613699
"tbodyacc_mean_x" "LAYING" 26 0.271645864540789
"tbodyacc_mean_x" "LAYING" 27 0.274102492432432
"tbodyacc_mean_x" "LAYING" 28 0.2759134825
"tbodyacc_mean_x" "LAYING" 29 0.287295196811594
"tbodyacc_mean_x" "LAYING" 30 0.281033900571429
"tbodyacc_mean_x" "SITTING" 1 0.261237565425532
"tbodyacc_mean_x" "SITTING" 2 0.27708735173913
"tbodyacc_mean_x" "SITTING" 3 0.257197599134615
"tbodyacc_mean_x" "SITTING" 4 0.27153827992
"tbodyacc_mean_x" "SITTING" 5 0.273694139545455
"tbodyacc_mean_x" "SITTING" 6 0.276778487454545
"tbodyacc_mean_x" "SITTING" 7 0.284674637291667
"tbodyacc_mean_x" "SITTING" 8 0.267491472934783
"tbodyacc_mean_x" "SITTING" 9 0.24832674354
"tbodyacc_mean_x" "SITTING" 10 0.270612056481481
"tbodyacc_mean_x" "SITTING" 11 0.276590197358491
"tbodyacc_mean_x" "SITTING" 12 0.275007224901961
"tbodyacc_mean_x" "SITTING" 13 0.274328499591837
"tbodyacc_mean_x" "SITTING" 14 0.279990577037037
"tbodyacc_mean_x" "SITTING" 15 0.27290337979661
"tbodyacc_mean_x" "SITTING" 16 0.280768574492754
"tbodyacc_mean_x" "SITTING" 17 0.2773570196875
"tbodyacc_mean_x" "SITTING" 18 0.27727001877193
"tbodyacc_mean_x" "SITTING" 19 0.273830316164384
"tbodyacc_mean_x" "SITTING" 20 0.278045439090909
"tbodyacc_mean_x" "SITTING" 21 0.277539616823529
"tbodyacc_mean_x" "SITTING" 22 0.273583822709677
"tbodyacc_mean_x" "SITTING" 23 0.273351251617647
"tbodyacc_mean_x" "SITTING" 24 0.273475690147059
"tbodyacc_mean_x" "SITTING" 25 0.278541482461538
"tbodyacc_mean_x" "SITTING" 26 0.258243530166667
"tbodyacc_mean_x" "SITTING" 27 0.273941302571429
"tbodyacc_mean_x" "SITTING" 28 0.276977629444444
"tbodyacc_mean_x" "SITTING" 29 0.2771799775
"tbodyacc_mean_x" "SITTING" 30 0.268336081379032
"tbodyacc_mean_x" "STANDING" 1 0.278917629056604
"tbodyacc_mean_x" "STANDING" 2 0.277911472222222
"tbodyacc_mean_x" "STANDING" 3 0.280046513278689
"tbodyacc_mean_x" "STANDING" 4 0.280499745892857
"tbodyacc_mean_x" "STANDING" 5 0.282544390892857
"tbodyacc_mean_x" "STANDING" 6 0.280346248596491
"tbodyacc_mean_x" "STANDING" 7 0.282723539433962
"tbodyacc_mean_x" "STANDING" 8 0.279620986111111
"tbodyacc_mean_x" "STANDING" 9 0.282310057333333
"tbodyacc_mean_x" "STANDING" 10 0.276650300681818
"tbodyacc_mean_x" "STANDING" 11 0.277715562765957
"tbodyacc_mean_x" "STANDING" 12 0.277405834918033
"tbodyacc_mean_x" "STANDING" 13 0.277758431052632
"tbodyacc_mean_x" "STANDING" 14 0.280545613833333
"tbodyacc_mean_x" "STANDING" 15 0.278915803962264
"tbodyacc_mean_x" "STANDING" 16 0.283497402948718
"tbodyacc_mean_x" "STANDING" 17 0.277942503333333
"tbodyacc_mean_x" "STANDING" 18 0.278458805890411
"tbodyacc_mean_x" "STANDING" 19 0.27817226
"tbodyacc_mean_x" "STANDING" 20 0.278076904657534
"tbodyacc_mean_x" "STANDING" 21 0.27695224258427
"tbodyacc_mean_x" "STANDING" 22 0.279053861587302
"tbodyacc_mean_x" "STANDING" 23 0.277899323235294
"tbodyacc_mean_x" "STANDING" 24 0.280348883913043
"tbodyacc_mean_x" "STANDING" 25 0.278013701621622
"tbodyacc_mean_x" "STANDING" 26 0.281127035405405
"tbodyacc_mean_x" "STANDING" 27 0.279566921625
"tbodyacc_mean_x" "STANDING" 28 0.277795069113924
"tbodyacc_mean_x" "STANDING" 29 0.277965065846154
"tbodyacc_mean_x" "STANDING" 30 0.277112699152542
"tbodyacc_mean_x" "WALKING" 1 0.277330758736842
"tbodyacc_mean_x" "WALKING" 2 0.276426586440678
"tbodyacc_mean_x" "WALKING" 3 0.275567462068966
"tbodyacc_mean_x" "WALKING" 4 0.278582015166667
"tbodyacc_mean_x" "WALKING" 5 0.27784234625
"tbodyacc_mean_x" "WALKING" 6 0.283658868070175
"tbodyacc_mean_x" "WALKING" 7 0.275592961754386
"tbodyacc_mean_x" "WALKING" 8 0.27468631
"tbodyacc_mean_x" "WALKING" 9 0.278502842115385
"tbodyacc_mean_x" "WALKING" 10 0.278574076603774
"tbodyacc_mean_x" "WALKING" 11 0.271821892881356
"tbodyacc_mean_x" "WALKING" 12 0.2771286656
"tbodyacc_mean_x" "WALKING" 13 0.275883130350877
"tbodyacc_mean_x" "WALKING" 14 0.271959598644068
"tbodyacc_mean_x" "WALKING" 15 0.273899207962963
"tbodyacc_mean_x" "WALKING" 16 0.276023564509804
"tbodyacc_mean_x" "WALKING" 17 0.272341855245902
"tbodyacc_mean_x" "WALKING" 18 0.273887758571429
"tbodyacc_mean_x" "WALKING" 19 0.273931172307692
"tbodyacc_mean_x" "WALKING" 20 0.272589336470588
"tbodyacc_mean_x" "WALKING" 21 0.279183526730769
"tbodyacc_mean_x" "WALKING" 22 0.27886459
"tbodyacc_mean_x" "WALKING" 23 0.273211884237288
"tbodyacc_mean_x" "WALKING" 24 0.276980816034483
"tbodyacc_mean_x" "WALKING" 25 0.278992759054054
"tbodyacc_mean_x" "WALKING" 26 0.279264443728814
"tbodyacc_mean_x" "WALKING" 27 0.276849485438596
"tbodyacc_mean_x" "WALKING" 28 0.281228223888889
"tbodyacc_mean_x" "WALKING" 29 0.271999916792453
"tbodyacc_mean_x" "WALKING" 30 0.276406758
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 1 0.289188320408163
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 2 0.27761534806383
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 3 0.292423484693878
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 4 0.279965329555556
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 5 0.29354392712766
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 6 0.277045258145833
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 7 0.28030708
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 8 0.283484089210526
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 9 0.295923445
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 10 0.290401594315789
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 11 0.291605631956522
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 12 0.281521097391304
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 13 0.294907553404255
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 14 0.293422115555556
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 15 0.280198851190476
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 16 0.295586802191489
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 17 0.29391828326087
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 18 0.288439468909091
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 19 0.262688053871795
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 20 0.296144421355556
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 21 0.3014610196
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 22 0.284458963861111
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 23 0.289897411148148
"tbodyacc_mean_x" "WALKING_DOWNSTAIRS" 24 0.288631208909091
